Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
AD9200ARSZ-ND,ANALOG DEVICES INC,AD9200ARSZ,,1,0,0,IC ADC 10BIT CMOS 20MSPS 28-SSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected May-2011
AD8130ARMZ-ND,ANALOG DEVICES INC,AD8130ARMZ,,1,0,0,IC OPAMP DIFF 290MHZ 8MSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected May-2011
102-1386-1-ND,CUI INC (VA),VAT1-S5-D12-SMT-TR,,1,0,0,CONVERTER DC/DC +/-12V OUT 1W,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Oct-2011
S1012EC-40-ND,SULLINS CONNECTOR SOLUTIONS,PREC040SAAN-RC,,1,0,0,CONN HEADER .100 inch SNGL STR 40POS,,RoHS Compliant,Lead free,Unaffected Sep-2008
587-1240-1-ND,TAIYO YUDEN (VA),EMK107B7104KA-T,,8,0,0,CAP CER 0.1UF 16V 10% X7R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Nov-2009
587-1295-1-ND,TAIYO YUDEN (VA),EMK212BJ106KG-T,,6,0,0,CAP CER 10UF 16V 10% X5R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Nov-2009
RMCF0603FT150RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0603FT150R,,1,0,0,RES 150 OHM 1/10W 1% 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
RMCF0603FT10R0CT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0603FT10R0,,1,0,0,RES 10 OHM 1/10W 1% 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
RMCF0603FT1R00CT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0603FT1R00,,1,0,0,RES 1 OHM 1/10W 1% 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
RMCF0603FT100RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0603FT100R,,1,0,0,RES 100 OHM 1/10W 1% 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
RMCF0603FT1K00CT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0603FT1K00,,1,0,0,RES 1K OHM 1/10W 1% 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
475-2558-1-ND,OSRAM OPTO SEMICONDUCTORS INC(VA),LY Q976-P1S2-36,,1,0,0,LED CHIPLED 587NM YLW 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
987-1155-ND,TT ELECTRONICS/BI,84WR10KLF,,2,0,0,TRIMMER 10K OHM 0.25W SMD,,RoHS Compliant,Lead free,Unaffected Jun-2011
